,abbreviation,alt_color,color,conference,division,logos,mascot,school
801,BEL,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2056.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2056.png']",Blazers,Belhaven College
802,,,,,,,,Bellefonte Academy
803,,,,,,,,Bellevue
804,,,,,,,,Belmont A.C.
805,,,,,,,,Beloit High
806,BEN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2059.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2059.png']",Tigers,Benedict
807,,,,,,,,Bennett Medical
808,,,,,,,,Berg Field
809,,,,,,,,Bergstrom Field
810,,,,,,,,Berkeley A.C.
811,,,,,,,,Bethany (Kansas)
812,,,,,,,,Bethany (West Virginia)
813,,,,,,,,Bethel
814,,,,,,,,Bingham
815,,,,,,,,Birmingham
816,,,,,,,,Birmingham High
817,,,,,,,,Bishop
818,,,,,,,,Blackland Field
819,,,,,,,,Blountsville Agricultural
820,,,,,,,,Bogue Field
821,,,,,,,,Bolling Field
822,,,,,,,,Boston A.C.
823,,,,,,,,Boston English High
824,,,,,,,,Boston Latin High
825,,,,,,,Terriers,Boston University
826,,,,,,,,Boulder High
827,BOW,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2075.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2075.png']",Bulldogs,Bowie State
828,,,,,,,,Bradford National Guard
829,,,,,,,Braves,Bradley
830,,,,,,,,Brandeis
831,,,,,,,,Brayton
832,,,,,,,,Bremerton Navy
833,,,,,,,,Bridgewater
834,,,,,,,,Britannia
835,,,,,,,,British Club of New York
836,,,,,,,,Brooklyn
837,,,,,,,,Brooklyn Polytechnic Institute
838,,,,,,,,Brooklyn Tigers (NFL)
839,,,,,,,,Bryan Field
840,,,,,,,,Bryson
841,,,,,,,,Buckner Business College
842,,,,,,,,Bunker Hill Navy
843,,,,,,,,Burleson
844,,,,,,,,Burlingame A.C.
845,,,,,,,,Butler YMCA
846,,,,,,,,Butte A.C.
847,,,,,,,,California Alumni
848,,,,,,,,California (Pennsylvania)
849,,,,,,,,California-Riverside
850,UCSB,,,,,,Gauchos,California-Santa Barbara
851,,,,,,,,California Tech
852,,,,,,,,Cal Poly-Pomona
853,,,,,,,Titans,Cal State Fullerton
854,,,,,,,Golden Eagles,Cal State Los Angeles
855,,,,,,,,Cal State Northridge
856,,,,,,,,Camp Adams
857,,,,,,,,Camp Baker
858,,,,,,,,Camp Beale
859,,,,,,,,Camp Blanding
860,,,,,,,,Camp Davis
861,,,,,,,,Camp Devens
862,,,,,,,,Camp Dodge
863,,,,,,,,Camp Doniphan
864,,,,,,,,Campello
865,,,,,,,,Camp Funston
866,,,,,,,,Camp Gordon
867,,,,,,,Warriors,Camp Grant
868,,,,,,,,Camp Greene
869,,,,,,,,Camp Greenleaf
870,,,,,,,,Camp Griffin
871,,,,,,,,Camp Haan
872,,,,,,,,Camp Hancock
873,,,,,,,,Camp Harrison
874,,,,,,,,Camp Hood
875,,,,,,,,Camp Humphreys
876,,,,,,,,Camp Kilmer
877,,,,,,,,Camp Lee
878,,,,,,,,Camp Lejeune
879,,,,,,,,Camp Logan
880,,,,,,,,Camp Lyons
881,,,,,,,,Camp Mabry
882,,,,,,,,Camp MacAurthur
883,,,,,,,,Camp MacDowell
884,,,,,,,,Camp Mackall
885,,,,,,,,Camp McClelland
886,,,,,,,,Camp McKinley
887,,,,,,,,Camp McPherson
888,,,,,,,,Camp Meyer
889,,,,,,,,Camp Peary
890,,,,,,,,Camp Pendleton
891,,,,,,,,Camp Perry
892,,,,,,,,Camp Pickett
893,,,,,,,,Camp Pike
894,,,,,,,,Camp Polk
895,,,,,,,,Camp Preble
896,,,,,,,,Camp Russell
897,,,,,,,,Camp Sevier
898,,,,,,,,Camp Shelby
899,,,,,,,,Camp Sherman
900,,,,,,,,Camp Taylor
901,,,,,,,,Camp Travis
902,,,,,,,,Camp Wadsworth
903,,,,,,,,Canada All-Stars
904,,,,,,,,Canisius
905,,,,,,,,Canton A.C.
906,,,,,,,,Carleton-St. Olaf
907,,,,,,,Indians,Carlisle
908,,,,,,,,Carlstrom Field
909,,,,,,,,Carroll (Montana)
910,,,,,,,,Carroll (Wisconsin)
911,,,,,,,,Carruthers Field
912,,,,,,,,Carswell AFB
913,,,,,,,,Casa Blanca Indians
914,,,,,,,,Case
915,,,,,,,,Castle Heights
916,,,,,,,,Catawba College
917,,,,,,,,Catholic
918,,,,,,,Gents,Centenary (LA)
919,,,,,,,,Centerville (Butte)
920,,,,,,,,Central Academy
921,,,,,,,,Central (Iowa)
922,,,,,,,,Central (Kentucky)
923,,,,,,,,Chamberlain Hunt
924,,,,,,,,Chanute Field
925,,,,,,,,Charles City
926,,,,,,,,Charleston
927,,,,,,,,Charleston Coast Guard
928,,,,,,,,Charleston Navy
929,,,,,,,,Chatham Field
930,,,,,,,,Chemawa
931,,,,,,,,Cherry Point Marines
932,,,,,,,,Cheyenne High
933,,,,,,,,Chicago A.C.
934,,,,,,,,Chicago Alumni
935,,,,,,,,Chicago College
936,,,,,,,,Chicago Dental
937,,,,,,,,Chicago Dining Club
938,,,,,,,,Chicago Medical
939,,,,,,,,Chicago Naval Reserve
940,,,,,,,,Chicago YMCA
941,,,,,,,,Chick Springs Military
942,,,,,,,,Chilocco
943,CHO,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2804.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2804.png']",Braves,Chowan
944,,,,,,,,Christian Brothers
945,,,,,,,,City College of New York
946,,,,,,,,Clarke Memorial
947,,,,,,,,Clarkson
948,,,,,,,,Clemson Freshmen
949,,,,,,,,Cleveland Naval Reserves
950,,,,,,,,C.M.T.S.
951,,,,,,,,College All-Stars
952,,,,,,,,Colorado Alumni
953,,,,,,,,Colorado College Alumni
954,,,,,,,,Colorado Springs Field
955,,,,,,,,Colorado Springs High
956,,,,,,,,Colorado State Freshmen
957,,,,,,,,Columbia A.C.
958,,,,,,,,Columbia Alumni
959,,,,,,,,Columbia College
960,,,,,,,,Columbia Law
961,,,,,,,,Columbia (Oregon)
962,,,,,,,,Columbia YMCA
963,,,,,,,,Company I
964,,,,,,,,Connecticut Literary
965,,,,,,,,Connecticut-Waterbury
