,abbreviation,alt_color,color,conference,division,logos,mascot,school
588,STMN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2900.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2900.png']",Tommies,St. Thomas (MN)
589,STV,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2614.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2614.png']",Bearcats,St. Vincent
590,STX,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2615.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2615.png']",Cougars,St. Xavier (IL)
591,SUL,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2834.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2834.png']",Lobos,Sul Ross State
592,COR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2782.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2782.png']",Red Dragons,SUNY Cortland
593,MAR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2951.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2951.png']",Privateers,SUNY Maritime
594,SUS,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/216.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/216.png']",Crusaders,Susquehanna
595,SYR,#0d1d37,#F37321,ACC,Atlantic,"['http://a.espncdn.com/i/teamlogos/ncaa/500/183.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/183.png']",Orange,Syracuse
596,TAR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2627.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2627.png']",Texans,Tarleton State
597,TCU,#f1f2f3,#3C377D,Big 12,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2628.png']",Horned Frogs,TCU
598,TEM,#a7a9ac,#A80532,American Athletic,East,"['http://a.espncdn.com/i/teamlogos/ncaa/500/218.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/218.png']",Owls,Temple
599,TENN,#ffffff,#EE9627,SEC,East,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2633.png']",Volunteers,Tennessee
600,TNST,#f0f0f0,#383C84,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2634.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2634.png']",Tigers,Tennessee State
601,TNTC,#ffde00,#5A4099,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2635.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2635.png']",Golden Eagles,Tennessee Tech
602,TEX,#f0f0f0,#EE7524,Big 12,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/251.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/251.png']",Longhorns,Texas
603,TA&M,#ffffff,#5C0025,SEC,West,"['http://a.espncdn.com/i/teamlogos/ncaa/500/245.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/245.png']",Aggies,Texas A&M
604,TXA,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2837.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2837.png']",Lions,Texas A&M-Commerce
605,TXA,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2658.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2658.png']",Javelinas,Texas A&M-Kingsville
606,TXCL,,,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2637.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2637.png']",Steers,Texas College
607,TEX,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2639.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2639.png']",Bulldogs,Texas Lutheran
608,TXSO,#ebebeb,#6A0403,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2640.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2640.png']",Tigers,Texas Southern
609,TXST,#b4975a,#4e1719,Sun Belt,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/326.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/326.png']",Bobcats,Texas State
610,TTU,#231f20,#C80025,Big 12,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2641.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2641.png']",Red Raiders,Texas Tech
611,CIT,#f0f0f0,#002b5c,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2643.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2643.png']",Bulldogs,The Citadel
612,THO,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2646.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2646.png']",Saints,Thomas More
613,TIF,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2838.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2838.png']",Dragons,Tiffin
614,TOL,#ffd51d,#00488F,Mid-American,West,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2649.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2649.png']",Rockets,Toledo
615,TOWS,,#FFC229,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/119.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/119.png']",Tigers,Towson
616,TRI,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2651.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2651.png']",Thunder,Trine
617,TRI,,,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/3214.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/3214.png']",Lions,Trinity Bible
618,TRI,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2977.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2977.png']",Bantams,Trinity (CT)
619,TRI,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2652.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2652.png']",Trojans,Trinity (IL)
620,TRI,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/386.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/386.png']",Tigers,Trinity (TX)
621,TROY,#88898c,#AE0210,Sun Belt,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2653.png']",Trojans,Troy
622,TRU,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2654.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2654.png']",Bulldogs,Truman State
623,TUF,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/112.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/112.png']",Jumbos,Tufts
624,TULN,#3baf29,#005837,American Athletic,West,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2655.png']",Green Wave,Tulane
625,TLSA,#ee3b33,#004371,American Athletic,West,"['http://a.espncdn.com/i/teamlogos/ncaa/500/202.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/202.png']",Golden Hurricane,Tulsa
626,TUS,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2839.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2839.png']",Pioneers,Tusculum
627,TUS,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2657.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2657.png']",Golden Tigers,Tuskegee
628,UAB,#ffc845,#003b28,Conference USA,West,"['http://a.espncdn.com/i/teamlogos/ncaa/500/5.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/5.png']",Blazers,UAB
629,UCD,#bc9305,#183563,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/302.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/302.png']",Aggies,UC Davis
630,UCF,#231f20,#000000,American Athletic,East,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2116.png']",Knights,UCF
631,UCLA,#ffc72c,#005C8E,Pac-12,South,"['http://a.espncdn.com/i/teamlogos/ncaa/500/26.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/26.png']",Bruins,UCLA
632,UMASS,,#880007,FBS Independents,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/113.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/113.png']",Minutemen,UMass
633,MAS,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/379.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/379.png']",Corsairs,UMass Dartmouth
634,UML,#cf1f2f,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2349.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2349.png']",River Hawks,UMass Lowell
635,NCP,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2882.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2882.png']",Braves,UNC Pembroke
636,UNI,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/237.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/237.png']",Dutchmen,Union
637,UFFL,,,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/3254.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/3254.png']",Glory Eagles,University of Faith
638,UNLV,#c2c4c6,#000000,Mountain West,West,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2439.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2439.png']",Rebels,UNLV
639,UI,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/389.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/389.png']",Peacocks,Upper Iowa
640,URB,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2666.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2666.png']",Blue Knights,Urbana
641,URS,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2667.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2667.png']",Bears,Ursinus
642,USC,#ffc72c,#AE2531,Pac-12,South,"['http://a.espncdn.com/i/teamlogos/ncaa/500/30.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/30.png']",Trojans,USC
643,UTAH,#7e8083,#890012,Pac-12,South,"['http://a.espncdn.com/i/teamlogos/ncaa/500/254.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/254.png']",Utes,Utah
644,USU,#949ca1,#003263,Mountain West,Mountain,"['http://a.espncdn.com/i/teamlogos/ncaa/500/328.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/328.png']",Aggies,Utah State
645,UTEP,#ff6f12,#002843,Conference USA,West,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2638.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2638.png']",Miners,UTEP
646,UTICA,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/390.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/390.png']",Pioneers,Utica
647,UTM,#102a5c,#FF6700,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2630.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2630.png']",Skyhawks,UT Martin
648,UTSA,#f47321,#002A5C,Conference USA,West,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2636.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2636.png']",Roadrunners,UT San Antonio
649,VAW,,,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2842.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2842.png']",Highland Cavaliers,UVA-Wise
650,WIS,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/271.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/271.png']",Titans,UW-Oshkosh
651,WIS,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2723.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2723.png']",Falcons,UW-River Falls
652,WIS,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2744.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2744.png']",Blue Devils,UW-Stout
653,WISW,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2745.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2745.png']",Warhawks,UW-Whitewater
654,VAL,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2673.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2673.png']",Blazers,Valdosta State
655,VAL,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/628.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/628.png']",Vikings,Valley City State
656,VALP,,#794500,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2674.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2674.png']",Crusaders,Valparaiso
657,VAN,#231f20,#000000,SEC,East,"['http://a.espncdn.com/i/teamlogos/ncaa/500/238.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/238.png']",Commodores,Vanderbilt
658,NOVA,#f0f0f0,#123d7C,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/222.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/222.png']",Wildcats,Villanova
659,UVA,#002d62,#00204e,ACC,Coastal,"['http://a.espncdn.com/i/teamlogos/ncaa/500/258.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/258.png']",Cavaliers,Virginia
660,VIR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/330.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/330.png']",Trojans,Virginia State
661,VT,#c2c1ba,#74232D,ACC,Coastal,"['http://a.espncdn.com/i/teamlogos/ncaa/500/259.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/259.png']",Hokies,Virginia Tech
662,VMI,#eec52b,#E52D37,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2678.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2678.png']",Keydets,VMI
663,WAB,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/89.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/89.png']",Little Giants,Wabash College
664,WAG,#ffffff,#00483A,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2681.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2681.png']",Seahawks,Wagner
665,WAKE,#000000,#9E7E38,ACC,Atlantic,"['http://a.espncdn.com/i/teamlogos/ncaa/500/154.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/154.png']",Demon Deacons,Wake Forest
666,WAL,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/3080.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/3080.png']",Warriors,Waldorf
667,WALSH,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2682.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2682.png']",Cavaliers,Walsh
668,UWS,,,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2683.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2683.png']",Royals,Warner
669,WAR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2685.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2685.png']",Knights,Wartburg
670,WAS,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2687.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2687.png']",Ichabods,Washburn
